iteration,global_step,checkpoint,makespan,energy,hv_total,hv_contrib
10,25600,hetero_mean_pf_it00010_st000025600.pt,5.325638888888888,10.092406439492867,0.13437128054158978,0.13437128054158978
10,25600,hetero_mean_pf_it00010_st000025600.pt,5.325638888888888,10.092406439492867,0.13437128054158978,0.13437128054158978
10,25600,hetero_mean_pf_it00010_st000025600.pt,5.325638888888888,10.092406439492867,1.8493916965968542,1.2944206634396929
10,25600,hetero_mean_pf_it00010_st000025600.pt,3.044652740403888,11.935778614715167,0.09085075267036677,0.09085075267036677
10,25600,hetero_mean_pf_it00010_st000025600.pt,3.044652740403888,11.935778614715167,0.9824975475821258,0.7836365353428469
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.4517063111882893,6.553861207858068,0.02378570419524921,0.02378570419524921
20,51200,hetero_mean_pf_it00020_st000051200.pt,1.1441751796971775,3.1244341594281395,0.008937250039539244,0.008937250039539244
5,12800,hetero_mean_pf_it00005_st000012800.pt,2.5606261313662584,21.57584811666287,0.13811920123479127,0.13811920123479127
10,25600,hetero_mean_pf_it00010_st000025600.pt,2.137435980501551,16.875208461671765,0.09017419436110359,0.09017419436110359
5,12800,hetero_mean_pf_it00005_st000012800.pt,1.1699859684559804,5.785238961853255,0.016921621023832874,0.016921621023832874
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.17581481147215736,0.13429469070559713
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.27959519247484643,0.053861413099033195
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.32799920331547644,0.05386141309903325
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.3339925482247853,0.05386141309903325
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.3199841637103931,0.053861413099033195
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.3199841637103931,0.053861413099033195
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.32065952413747784,0.053861413099033195
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.32065952413747784,0.053861413099033195
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.32065952413747784,0.053861413099033195
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.32065952413747784,0.053861413099033195
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.32065952413747784,0.053861413099033195
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.32065952413747784,0.053861413099033195
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.32220583953438714,0.04670854789908174
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.32220583953438714,0.04670854789908174
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.2509753373190309,3.6381991809826872,0.32220583953438714,0.04670854789908174
5,12800,hetero_mean_pf_it00005_st000012800.pt,2.2059712538652585,16.737041485082717,0.09230358097710686,0.09230358097710686
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.6561809687574385,9.501605998401127,0.039340947567958785,0.039340947567958785
15,38400,hetero_mean_pf_it00015_st000038400.pt,1.2339354895391497,3.998804777928025,0.01233566782806025,0.01233566782806025
20,51200,hetero_mean_pf_it00020_st000051200.pt,1.1704232914098405,3.334268919150093,0.009756265006992991,0.009756265006992991
25,64000,hetero_mean_pf_it00025_st000064000.pt,1.1505003511379197,3.1899019977251966,0.009174958421195978,0.009174958421195978
30,76800,hetero_mean_pf_it00030_st000076800.pt,1.123588950350299,3.059979338767454,0.008595397433348324,0.008595397433348324
30,76800,hetero_mean_pf_it00030_st000076800.pt,1.123588950350299,3.059979338767454,0.008595397433348324,0.008595397433348324
30,76800,hetero_mean_pf_it00030_st000076800.pt,1.123588950350299,3.059979338767454,0.008595397433348324,0.008595397433348324
30,76800,hetero_mean_pf_it00030_st000076800.pt,1.123588950350299,3.059979338767454,0.008595397433348324,0.008595397433348324
30,76800,hetero_mean_pf_it00030_st000076800.pt,1.123588950350299,3.059979338767454,0.008595397433348324,0.008595397433348324
30,76800,hetero_mean_pf_it00030_st000076800.pt,1.123588950350299,3.059979338767454,0.008595397433348324,0.008595397433348324
30,76800,hetero_mean_pf_it00030_st000076800.pt,1.123588950350299,3.059979338767454,0.008595397433348324,0.008595397433348324
65,166400,hetero_mean_pf_it00065_st000166400.pt,1.1183623302229155,3.1961590899196715,0.017463681246777496,0.007650503182804264
5,12800,hetero_mean_pf_it00005_st000012800.pt,2.9393297378260628,7.85161471087652,0.05769621152407981,0.05769621152407981
5,12800,hetero_mean_pf_it00005_st000012800.pt,2.717723566783217,7.93082762285848,0.053884492836844614,0.053884492836844614
5,12800,hetero_mean_pf_it00005_st000012800.pt,2.717723566783217,7.93082762285848,0.40080782227262873,0.21996487317235158
5,12800,hetero_mean_pf_it00005_st000012800.pt,2.717723566783217,7.93082762285848,0.6372811671939799,0.21996487317235158
5,12800,hetero_mean_pf_it00005_st000012800.pt,2.717723566783217,7.93082762285848,0.7669175221324763,0.21996487317235158
5,12800,hetero_mean_pf_it00005_st000012800.pt,2.717723566783217,7.93082762285848,0.7669175221324763,0.21996487317235158
