,PC1,PC2
tasks,0.34028287054694806,0.6073409567778273
edges,-0.33829188668257015,0.6361631992308913
width_peak,0.41480368553823777,0.08045389589808856
depth_avg,-0.39100604854957516,0.38078936919145967
Pbar,0.4012104918433343,0.03235606996296482
burstiness,0.33513195493076453,0.2667879468452729
cp_frac,-0.41416790544141874,-0.052318727667408284
