tasks,edges,width_peak,depth_avg,Pbar,burstiness,cp_frac,domain,set
17.0,89.0,2.0,13.0,1.2033845810281618,1.5294117647058822,0.8309895404722638,longcp,original
21.0,146.0,2.0,16.0,1.338064910373053,1.5238095238095237,0.7473478993789618,longcp,original
15.0,69.0,1.0,15.0,1.0,1.0,1.0,longcp,original
20.0,125.0,2.0,15.0,1.2495490226089998,1.5,0.800288729698693,longcp,original
18.0,94.0,2.0,15.0,1.1702621528608221,1.6666666666666667,0.8545093913832902,longcp,original
19.0,114.0,2.0,17.0,1.0986738636118067,1.7894736842105263,0.91018821246241,longcp,original
23.0,161.0,2.0,20.0,1.152829211005944,1.7391304347826089,0.8674311775353202,longcp,original
16.0,87.0,2.0,15.0,1.0641407971184953,1.875,0.9397252719826388,longcp,original
13.0,57.0,2.0,12.0,1.0770107292502529,1.8461538461538463,0.9284958569504105,longcp,original
13.0,51.0,2.0,10.0,1.283121281464531,1.5384615384615383,0.7793495552178968,longcp,original
20.0,136.0,2.0,18.0,1.1185717679073155,1.7999999999999998,0.8939971745137587,longcp,original
17.0,89.0,3.0,11.0,1.4980356664981713,1.9411764705882353,0.6675408485684547,longcp,original
15.0,74.0,3.0,12.0,1.1563512147093251,2.4,0.8647891637761391,longcp,original
24.0,192.0,2.0,21.0,1.113000329694997,1.75,0.8984723304386053,longcp,original
22.0,162.0,3.0,18.0,1.2437850701079944,2.454545454545454,0.8039974301292848,longcp,original
21.0,143.0,3.0,17.0,1.1737838938095482,2.4285714285714284,0.8519455798243,longcp,original
18.0,107.0,3.0,12.0,1.3823793927255925,2.0,0.7233904131255404,longcp,original
23.0,185.0,2.0,19.0,1.2258215655133686,1.6521739130434783,0.8157794153190676,longcp,original
20.0,135.0,2.0,15.0,1.2821656044179335,1.5,0.7799304524737828,longcp,original
16.0,79.0,3.0,12.0,1.317578413539446,2.25,0.7589681112896146,longcp,original
21.0,148.0,2.0,17.0,1.2825978419245387,1.619047619047619,0.7796676146745262,longcp,original
22.0,159.0,2.0,18.0,1.1627684852007283,1.6363636363636362,0.8600164286593737,longcp,original
13.0,49.0,2.0,10.0,1.2812733188638008,1.5384615384615383,0.7804736001892035,longcp,original
22.0,155.0,2.0,18.0,1.1431359371242202,1.6363636363636362,0.8747866001970804,longcp,original
18.0,106.0,2.0,16.0,1.076380713079802,1.7777777777777777,0.9290393146665948,longcp,original
15.0,74.0,3.0,11.0,1.1751250904547788,2.2,0.8509732352093643,longcp,original
19.0,119.0,2.0,17.0,1.1035268922390544,1.7894736842105263,0.9061854378292509,longcp,original
23.0,172.0,2.0,19.0,1.180494884874447,1.6521739130434783,0.8471023575052223,longcp,original
14.0,59.0,2.0,12.0,1.1444925723023651,1.7142857142857142,0.8737496635633984,longcp,original
19.0,117.0,3.0,15.0,1.2128046237263899,2.368421052631579,0.8245351150851163,longcp,original
24.0,196.0,2.0,18.0,1.3697433564884824,1.5,0.7300637708976606,longcp,original
23.0,172.0,2.0,18.0,1.24917782864355,1.565217391304348,0.8005265359903755,longcp,original
15.0,71.0,2.0,13.0,1.1464712131104005,1.7333333333333334,0.8722417000658734,longcp,original
24.0,194.0,2.0,21.0,1.1126261931270875,1.75,0.8987744546885541,longcp,original
12.0,38.0,2.0,10.0,1.1125494299267953,1.6666666666666667,0.8988364679363496,longcp,original
14.0,61.0,2.0,13.0,1.0611127768579958,1.8571428571428572,0.9424068975599807,longcp,original
15.0,73.0,2.0,13.0,1.160655737704918,1.7333333333333334,0.8615819209039548,longcp,original
18.0,103.0,3.0,14.0,1.2612246814237729,2.333333333333333,0.7928801384310992,longcp,original
13.0,55.0,2.0,11.0,1.17821163714343,1.6923076923076923,0.8487439509802303,longcp,original
21.0,140.0,2.0,15.0,1.3231370847581478,1.4285714285714286,0.7557795874059315,longcp,original
18.0,97.0,2.0,16.0,1.1496307205925742,1.7777777777777777,0.8698445353691946,longcp,original
18.0,97.0,2.0,13.0,1.3685104930500955,1.4444444444444444,0.7307214705904298,longcp,original
14.0,55.0,3.0,9.0,1.5071103223064077,1.9285714285714286,0.6635214325051195,longcp,original
23.0,178.0,2.0,19.0,1.1832134769313742,1.6521739130434783,0.8451560259383349,longcp,original
15.0,71.0,2.0,13.0,1.105002794525109,1.7333333333333334,0.9049750868999064,longcp,original
18.0,105.0,3.0,12.0,1.4167535118775696,2.0,0.7058390832394958,longcp,original
19.0,116.0,2.0,16.0,1.169248856658017,1.6842105263157894,0.8552499275973043,longcp,original
14.0,56.0,2.0,10.0,1.3135853415159235,1.4285714285714286,0.7612752429514514,longcp,original
12.0,46.0,1.0,12.0,1.0,1.0,1.0,longcp,original
15.0,66.0,3.0,9.0,1.4499570493389549,1.7999999999999998,0.6896756013951633,longcp,original
18.0,111.0,2.0,15.0,1.1944850358297034,1.6666666666666667,0.8371808520023761,longcp,original
24.0,192.0,2.0,21.0,1.1132729261526,1.75,0.8982523301414829,longcp,original
24.0,195.0,3.0,19.0,1.2088640406495956,2.375,0.8272228855964974,longcp,original
22.0,162.0,2.0,19.0,1.1383829112181925,1.7272727272727273,0.8784390473060529,longcp,original
20.0,129.0,3.0,14.0,1.3807452088818641,2.1,0.7242465833430674,longcp,original
14.0,67.0,2.0,13.0,1.0837387573217119,1.8571428571428572,0.9227316022833225,longcp,original
15.0,66.0,2.0,14.0,1.0645125081379598,1.8666666666666667,0.9393971347027149,longcp,original
17.0,90.0,2.0,14.0,1.169101010266224,1.647058823529412,0.8553580838770152,longcp,original
21.0,140.0,2.0,14.0,1.3961909882630934,1.3333333333333333,0.7162343894254984,longcp,original
23.0,170.0,2.0,17.0,1.2828635120283731,1.4782608695652173,0.7795061521539971,longcp,original
20.0,130.0,3.0,13.0,1.4181079549535889,1.95,0.70516493226549,longcp,original
23.0,175.0,2.0,17.0,1.2794362144069766,1.4782608695652173,0.781594259049095,longcp,original
24.0,190.0,2.0,22.0,1.0493500720130668,1.8333333333333335,0.952970821340495,longcp,original
18.0,99.0,3.0,13.0,1.191874209335906,2.1666666666666665,0.8390147149481358,longcp,original
13.0,50.0,2.0,11.0,1.1526214796640155,1.6923076923076923,0.8675875104214577,longcp,original
19.0,117.0,2.0,16.0,1.1031772983159314,1.6842105263157894,0.9064726055608305,longcp,original
18.0,98.0,2.0,14.0,1.2061870202315343,1.5555555555555554,0.8290588302036649,longcp,original
20.0,121.0,2.0,14.0,1.325956118577797,1.4,0.754172770870115,longcp,original
12.0,42.0,2.0,10.0,1.1346623711650412,1.6666666666666667,0.8813194351137481,longcp,original
19.0,120.0,2.0,16.0,1.1680775932522243,1.6842105263157894,0.8561075101318795,longcp,original
12.0,42.0,1.0,12.0,1.0,1.0,1.0,longcp,original
19.0,116.0,2.0,15.0,1.1537718110215514,1.5789473684210527,0.8667225099862671,longcp,original
18.0,103.0,2.0,13.0,1.1981798887447401,1.4444444444444444,0.8345992195275777,longcp,original
24.0,187.0,2.0,19.0,1.188603799990758,1.5833333333333335,0.8413232399288775,longcp,original
19.0,123.0,3.0,14.0,1.2742337925471043,2.2105263157894735,0.784785339903025,longcp,original
23.0,179.0,2.0,20.0,1.1230856877597957,1.7391304347826089,0.8904040100401305,longcp,original
13.0,44.0,2.0,10.0,1.2552409461997724,1.5384615384615383,0.7966597990827884,longcp,original
17.0,88.0,2.0,12.0,1.3145971113137855,1.4117647058823528,0.7606893331757114,longcp,original
21.0,152.0,2.0,18.0,1.1317070151848456,1.7142857142857142,0.8836209253652693,longcp,original
19.0,111.0,2.0,14.0,1.4653971957681415,1.4736842105263157,0.682408839656482,longcp,original
27.0,28.0,18.0,4.0,5.959043057547835,2.6666666666666665,0.16781217895940212,wide,representative
27.0,28.0,21.0,3.0,10.166648196814743,2.3333333333333335,0.09836083443049644,wide,representative
25.0,26.0,17.0,6.0,4.61102825560287,4.08,0.21687136676833374,wide,representative
30.0,36.0,17.0,6.0,5.058615711897888,3.4,0.19768253944413988,wide,representative
30.0,33.0,14.0,4.0,7.948067860508954,1.8666666666666667,0.1258167415717013,wide,representative
18.0,111.0,2.0,15.0,1.1944850358297034,1.6666666666666667,0.8371808520023761,longcp,representative
12.0,39.0,3.0,7.0,1.4627545156793067,1.75,0.6836417110875215,longcp,representative
12.0,42.0,1.0,12.0,1.0,1.0,1.0,longcp,representative
24.0,195.0,3.0,19.0,1.2088640406495956,2.375,0.8272228855964974,longcp,representative
15.0,74.0,3.0,12.0,1.1563512147093251,2.4,0.8647891637761391,longcp,representative
