Wall time,Step,Value
1764833922.8112462,12800,2.940633579606504
1764834299.9158242,25600,3.1677263253968255
1764842953.963841,38400,3.280321503108002
1764843357.108614,51200,3.381952530985681
1764843711.050262,64000,3.4226981544733044
1764844087.1169422,76800,3.433807924242424
1764844438.825473,89600,3.3986778063325565
1764844811.3218188,102400,3.5594035909090906
1764845172.307552,115200,3.6865871994949493
1764845542.6861491,128000,3.7172489785353533
1764845903.036187,140800,3.6787691650432905
1764846270.749683,153600,3.658910463383838
1764846624.365199,166400,3.618272133935509
1764846994.09264,179200,3.6453048952020204
1764847356.66317,192000,3.595316440559441
1764848273.14775,12800,3.0521958973026977
1764848660.441483,25600,3.1299690147574646
1764849013.464601,38400,3.328367633929959
1764849397.401994,51200,3.433656066078366
1764849748.637686,64000,3.516285350252525
1764850132.5177321,76800,3.6111610791125544
1764854050.000576,89600,3.564863948232323
1764854445.0541902,102400,3.603555462121212
1764855053.944383,115200,3.617076022186147
1764855438.178483,128000,3.6775070373931626
1764855905.605797,140800,3.5695248109251865
1764856302.319874,153600,3.6268410916305918
1764856668.668131,166400,3.7254765837912087
1764857067.380688,179200,3.719524200036075
1764857421.448192,192000,3.821784806818182
1764857811.804668,204800,3.7580098207070707
1764858166.1663628,217600,3.5909688866938625
1764858559.8790889,230400,3.645364230844156
1764858890.146912,243200,3.6158193214313465
1764859184.830453,256000,3.603189156168831
1764859452.124892,268800,3.3504070965007218
1764859802.42192,281600,3.5610884340770346
1764860153.87886,294400,3.5466477379065386
1764867480.1268759,12800,3.0112132134171383
1764867880.792306,25600,3.1312890526667774
1764868250.1999612,38400,3.238805693362193
1764868646.062001,51200,3.2062175877899883
1764869007.981579,64000,3.2180195586219336
1764869419.442796,76800,3.3100992121212123
1764869804.5429592,89600,3.382559443001443
1764870231.169373,102400,3.5372337121212127
1764870598.582498,115200,3.4942750929292927
1764870987.8381839,128000,3.57179006060606
1764871339.265667,140800,3.7684760328282834
1764871741.6791291,153600,3.689704074494949
1764872095.723139,166400,3.7063655896464653
1764872483.0774689,179200,3.6934024920357422
1764872852.367564,192000,3.632248908838384
1764873236.2306712,204800,3.7308546134920633
1764873588.4096231,217600,3.6668112449494954
1764874000.687105,230400,3.778660558621934
1764874359.2812748,243200,3.8218689482323236
1764874754.696356,256000,3.8326093870435125
1764875117.168952,268800,3.687572450757576
1764875510.156014,281600,3.5800600174825177
