Iteration,Makespan,Active_Energy,Makespan_Return,Active_Energy_Return,Total_Return
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,4.026977499999999,10.159520612245867,0.0,0.0,-2.7556960978633906
20,4.40066212121212,9.915091656713383,0.0,0.0,-2.498141545501706
30,4.088555542929293,10.243384113496798,0.0,0.0,-2.628636566861673
40,4.25366744949495,9.641501719799805,0.0,0.0,-2.4911742031530775
50,4.633107815656565,10.373923673697625,0.0,0.0,-2.5026196065912654
60,4.492344873737373,10.20872779049382,0.0,0.0,-2.4990703776300975
70,4.657747916666666,10.349524195351217,0.0,0.0,-2.5080032980593385
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,4.4052564393939395,9.589298973361196,0.0,0.0,-2.5260680159442668
20,4.394759277777777,10.671125974583013,0.0,0.0,-2.608620491079013
30,4.487933826728827,10.976977546032398,0.0,0.0,-2.6381290449395287
40,4.560845416666667,10.238588517628205,0.0,0.0,-2.499896946883506
50,4.606857083333333,10.109709215159839,0.0,0.0,-2.5045241345672267
60,4.970852272727272,11.043161854603728,0.0,0.0,-2.5202575542256755
70,5.16370625,11.306143984661174,0.0,0.0,-2.5285267232749646
80,5.0513169444444435,11.235840618333873,0.0,0.0,-2.5194588599311976
90,4.865834583333332,11.277898048642534,0.0,0.0,-2.6484700379853514
100,4.358124722222222,11.370601623101162,0.0,0.0,-2.9067091806350067
110,4.265901047979798,10.92841884008471,0.0,0.0,-2.7376887779676418
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,3.6874346070318564,10.874722594988853,0.0,0.0,-2.8158032551318297
20,3.761991918470417,11.099838432729154,0.0,0.0,-2.8487529107149063
30,4.068104797979798,9.330311435702779,0.0,0.0,-2.478142694241349
40,4.711594772727271,10.123492923271579,0.0,0.0,-2.533056011182853
50,4.622608939393939,10.172016396844576,0.0,0.0,-2.518543022628853
60,4.721374204545454,10.49580986635301,0.0,0.0,-2.5162947298099994
70,4.620753169191919,10.453641748349689,0.0,0.0,-2.4937393382252324
80,4.714496085858586,10.36812808489917,0.0,0.0,-2.5092702948320476
90,4.573524681818181,10.943122304509215,0.0,0.0,-2.625089189065327
100,4.208841722222222,10.44920175142324,0.0,0.0,-2.606891612382901
110,4.731129393939394,10.65853882387833,0.0,0.0,-2.5095194188405285
