Wall time,Step,Value
1764965353.138717,2560,-2.1755695911451767e-07
1764965367.469474,2560,-0.013964353129267693
1764965382.220386,2560,-0.01913946494460106
1764965397.164672,2560,-0.020778503268957138
1764965422.558553,5120,1.0877847955725883e-07
1764965437.605582,5120,-0.0033295289613306522
1764965452.5649228,5120,-0.02156263217329979
1764965467.4488919,5120,-0.022939983755350113
1764965492.978708,7680,-1.0430812658057675e-08
1764965508.073674,7680,-0.00409548869356513
1764965522.948724,7680,-0.00922316126525402
1764965537.820906,7680,-0.019026372581720352
1764965563.100768,10240,2.4586915614577265e-08
1764965578.04203,10240,-0.0065138936042785645
1764965592.94287,10240,-0.012151663191616535
1764965607.8617978,10240,-0.0134257348254323
1764965633.324678,12800,4.470348535789981e-09
1764965648.2965188,12800,-0.003935015294700861
1764965663.0810502,12800,-0.00686910143122077
1764965678.136023,12800,-0.009177954867482185
1764967066.339574,2560,-2.1755695911451767e-07
1764967080.450644,2560,-0.013964353129267693
1764967094.3796108,2560,-0.01913946494460106
1764967108.301607,2560,-0.020778503268957138
1764967137.2543292,5120,1.0877847955725883e-07
1764967155.262629,5120,-0.0033295289613306522
1764967171.785109,5120,-0.02156263217329979
1764967186.7120671,5120,-0.022939983755350113
1764967211.843699,7680,-1.0430812658057675e-08
1764967227.0406332,7680,-0.00409548869356513
1764967242.2026649,7680,-0.00922316126525402
1764967256.303364,7680,-0.019026372581720352
1764967280.838103,10240,2.4586915614577265e-08
1764967295.595883,10240,-0.0065138936042785645
1764967310.535153,10240,-0.012151663191616535
1764967325.5199401,10240,-0.0134257348254323
1764967350.169164,12800,4.470348535789981e-09
1764967365.083922,12800,-0.003935015294700861
1764967379.3800352,12800,-0.00686910143122077
1764967394.29377,12800,-0.009177954867482185
1764967786.752936,15360,2.60770320892334e-08
1764967800.329961,15360,-0.001657122396863997
1764967814.605221,15360,-0.008694423362612724
1764967829.298739,15360,-0.012447482906281948
1764967854.703041,17920,8.940697071579962e-09
1764967869.584276,17920,0.0021843493450433016
1764967884.417043,17920,-0.01045981328934431
1764967899.3292632,17920,-0.0060601988807320595
1764967924.8060238,20480,4.470348535789981e-09
1764967939.7900019,20480,-0.002952486276626587
1764967954.729564,20480,-0.006249184254556894
1764967969.7584121,20480,-0.008268818259239197
1764967995.15151,23040,-8.940697071579962e-09
1764968010.1575968,23040,-0.0036653727293014526
1764968025.1877801,23040,0.000728392624296248
1764968040.109086,23040,-0.002029424998909235
1764968065.021624,25600,3.725290298461914e-09
1764968080.0176792,25600,-0.005411842372268438
1764968095.104864,25600,-0.006563016679137945
1764968110.225613,25600,-0.00521377008408308
1764968543.2360609,28160,0.0
1764968559.554125,28160,-0.007367079611867666
1764968574.131132,28160,-0.004708091728389263
1764968589.018301,28160,-0.005579163786023855
1764968614.375104,30720,-2.9802322831784522e-09
1764968629.2876,30720,-0.00283386860974133
1764968644.026169,30720,-0.004519365727901459
1764968658.843085,30720,-0.0016679614782333374
1764968684.022464,33280,-1.4901161415892261e-09
1764968698.706671,33280,-0.0005794375902041793
1764968713.526979,33280,-0.006914343684911728
1764968728.143952,33280,-0.009707169607281685
1764968752.915732,35840,-5.9604645663569045e-09
1764968767.527262,35840,-0.0039060204289853573
1764968782.064814,35840,-0.005337758921086788
1764968796.53363,35840,-0.005517503712326288
1764968821.507206,38400,1.0430812658057675e-08
1764968835.965154,38400,0.0008214317495003343
1764968850.639939,38400,-0.003108416451141238
1764968865.130568,38400,-0.006259158253669739
1764969291.079541,40960,-3.725290298461914e-09
1764969304.973808,40960,-0.0007671519997529685
1764969319.168662,40960,-0.005077115725725889
1764969333.4240682,40960,-0.009936407208442688
1764969358.157747,43520,-1.4901161415892261e-09
1764969372.88247,43520,-0.0016922981012612581
1764969387.4067242,43520,-0.0015840604901313782
1764969402.039189,43520,-0.002245835494250059
1764969426.5154922,46080,0.0
1764969441.0480661,46080,-0.0008508592727594078
1764969455.578495,46080,-0.0031875118147581816
1764969470.2452679,46080,-0.005712301470339298
1764969494.701617,48640,-5.215406329028838e-09
1764969509.1962008,48640,-0.0017077934462577105
1764969523.73861,48640,-0.0002877168299164623
1764969538.174981,48640,-0.004926648922264576
1765014698.6158679,2560,-2.1755695911451767e-07
1765014712.514797,2560,-0.013964353129267693
1765014727.0195389,2560,-0.01913946494460106
1765014741.651253,2560,-0.020778503268957138
1765014767.4453819,5120,1.0877847955725883e-07
1765014782.017636,5120,-0.0033295289613306522
1765014796.69633,5120,-0.02156263217329979
1765014811.318672,5120,-0.022939983755350113
1765014837.2144582,7680,-1.0430812658057675e-08
1765014851.909856,7680,-0.00409548869356513
1765014866.603738,7680,-0.00922316126525402
1765014881.149444,7680,-0.019026372581720352
1765014907.086594,10240,2.4586915614577265e-08
1765014921.601299,10240,-0.0065138936042785645
1765014936.299284,10240,-0.012151663191616535
1765014951.142594,10240,-0.0134257348254323
1765014976.8799748,12800,4.470348535789981e-09
1765014991.75669,12800,-0.003935015294700861
1765015006.582418,12800,-0.00686910143122077
1765015021.292862,12800,-0.009177954867482185
1765015048.665577,15360,9.685754420729609e-09
1765015063.418748,15360,-0.004717404954135418
1765015078.368636,15360,-0.008346672169864178
1765015093.1103108,15360,-0.018986469134688377
1765015118.975517,17920,5.9604645663569045e-09
1765015133.885267,17920,0.001657766872085631
1765015148.694443,17920,-0.005709721241146326
1765015163.468758,17920,-0.016075080260634422
1765015189.089111,20480,4.470348535789981e-09
1765015203.885037,20480,-0.010523200035095215
1765015218.600526,20480,-0.009597685188055038
1765015233.31661,20480,-0.012868332676589489
1765015259.248111,23040,-2.9802322831784522e-09
1765015273.867275,23040,-0.001615783548913896
1765015288.574625,23040,0.0038666496984660625
1765015303.2467341,23040,-0.010003993287682533
1765015329.2846599,25600,2.086162531611535e-08
1765015344.045173,25600,-0.002279812004417181
1765015358.8964758,25600,-0.0034712045453488827
1765015373.7848809,25600,-0.01368288416415453
1765015401.372127,28160,-4.470348535789981e-09
1765015416.037632,28160,-0.0003174528537783772
1765015430.7147331,28160,-0.004107373300939798
1765015445.328991,28160,-0.0034433945547789335
1765015470.8748019,30720,2.9802322387695312e-08
1765015485.622041,30720,-0.0003454565885476768
1765015500.299372,30720,-0.004459795542061329
1765015515.059498,30720,-0.005304908845573664
1765015540.67573,33280,-5.9604645663569045e-09
1765015555.536374,33280,-0.0017708487575873733
1765015570.263223,33280,-0.01109405979514122
1765015585.0967119,33280,-0.009153256192803383
1765015610.937164,35840,-1.4901161193847656e-08
1765015625.7101161,35840,-0.0039580268785357475
1765015640.432801,35840,-0.0030005858279764652
1765015655.1193442,35840,-0.004128235392272472
1765015680.941726,38400,1.4901161415892261e-09
1765015695.687819,38400,-0.0009178057080134749
1765015710.5023968,38400,0.0055097839795053005
1765015725.311296,38400,-0.012495109811425209
1765015752.675859,40960,-1.4901161415892261e-09
1765015767.412363,40960,-0.0031234777998179197
1765015782.1545238,40960,-0.002259124768897891
1765015796.9870012,40960,-0.003720326814800501
