Iteration,Makespan,Active_Energy,Makespan_Return,Active_Energy_Return,Total_Return
0,0.7943684829059829,11.757253072385382,0.0,0.0,-3.055184215494924
5,0.6892898809523809,11.05598358625307,0.0,0.0,-2.87611055756654
0,0.7943684829059829,11.757253072385382,0.0,0.0,-3.055184215494924
5,0.6892898809523809,11.05598358625307,0.0,0.0,-2.87611055756654
10,0.6651862179487179,9.487367373887006,0.0,0.0,-2.2923840696220092
15,0.8245844065656566,9.208248090308382,0.0,0.0,-2.357271587108095
19,0.5642232323232323,9.653247250367414,0.0,0.0,-2.3591586280354777
0,0.7943684829059829,11.757253072385382,0.0,0.0,-3.055184215494924
19,0.7642030303030303,9.827347023551784,0.0,0.0,-2.4383427248775575
0,0.7943684829059829,11.757253072385382,0.0,0.0,-3.055184215494924
19,0.7642030303030303,9.827347023551784,0.0,0.0,-2.4383427248775575
0,0.7943684829059829,11.757253072385382,0.0,0.0,-3.055184215494924
19,0.7642030303030303,9.827347023551784,0.0,0.0,-2.4383427248775575
0,0.7943684829059829,11.757253072385382,0.0,0.0,-3.055184215494924
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
50,0.8600819444444444,8.567010930576776,0.0,0.0,-2.475854682297581
100,0.7287549999999999,8.71472776825503,0.0,0.0,-2.370122938639004
150,0.7287549999999999,8.173499339349375,0.0,0.0,-2.467903213904257
200,0.6895795454545455,8.281745060080851,0.0,0.0,-2.3803735400729957
250,0.7419920454545454,8.690045855923083,0.0,0.0,-2.5771006660757534
300,0.7419920454545454,8.202893441521715,0.0,0.0,-2.460443594512642
350,0.6569333333333333,7.98952688120703,0.0,0.0,-2.3861115412802625
351,0.7879645833333333,8.5372028134923,0.0,0.0,-2.5202405135895685
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
50,0.8995549999999999,8.890403564319666,0.0,0.0,-2.3941166357389374
100,0.6807571969696969,8.68209856880252,0.0,0.0,-2.371528459074157
150,0.6895795454545455,8.281233138607716,0.0,0.0,-2.302941158606194
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
