iteration,global_step,checkpoint,makespan,energy,knee_distance
5,12800,hetero_mean_pf_it00005_st000012800.pt,1.0244716044316793,13.564203025109526,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,1.0244716044316793,13.564203025109526,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,1.0244716044316793,13.564203025109526,0.0
19,48640,hetero_mean_pf_it00019_st000048640.pt,1.0412532332084583,11.935485440309536,0.5124935608603867
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9489858096958596,13.775037179563975,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9489858096958596,13.775037179563975,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9489858096958596,13.775037179563975,0.0
15,38400,hetero_mean_pf_it00015_st000038400.pt,1.0757833511544013,11.671598372509834,0.22817061649681053
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9489858096958596,13.775037179563975,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9489858096958596,13.775037179563975,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9489858096958596,13.775037179563975,0.0
15,38400,hetero_mean_pf_it00015_st000038400.pt,1.0757833511544013,11.671598372509834,0.22817061649681053
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9489858096958596,13.775037179563975,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9489858096958596,13.775037179563975,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9489858096958596,13.775037179563975,0.0
15,38400,hetero_mean_pf_it00015_st000038400.pt,1.0757833511544013,11.671598372509834,0.22817061649681053
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9953189591547341,13.469912765939503,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9531768250999001,13.519321452548729,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9531768250999001,13.519321452548729,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9531768250999001,13.519321452548729,0.0
20,51200,hetero_mean_pf_it00020_st000051200.pt,1.1477137603535355,11.475637462030779,0.0492536794865964
25,64000,hetero_mean_pf_it00025_st000064000.pt,1.1488973353174603,11.402609654516441,0.06978607623127689
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9531768250999001,13.519321452548729,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9531768250999001,13.519321452548729,0.0
35,89600,hetero_mean_pf_it00035_st000089600.pt,1.0744272564102564,11.079590190309895,0.016578896479494284
35,89600,hetero_mean_pf_it00035_st000089600.pt,1.0744272564102564,11.079590190309895,0.016578896479494284
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9531768250999001,13.519321452548729,0.0
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.9531768250999001,13.519321452548729,0.0
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4845752340783669
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.47005275518228173
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.47005275518228173
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.47005275518228173
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.47289257887613484
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.47289257887613484
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4252746171605665
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.4375512542373888
150,384000,hetero_mean_pf_it00150_st000384000.pt,0.9765938762626263,10.519242496225996,0.44326460042888743
150,384000,hetero_mean_pf_it00150_st000384000.pt,0.9765938762626263,10.519242496225996,0.44326460042888743
150,384000,hetero_mean_pf_it00150_st000384000.pt,0.9765938762626263,10.519242496225996,0.44326460042888743
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.30591023960171293
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.30591023960171293
55,140800,hetero_mean_pf_it00055_st000140800.pt,0.9672843977522477,10.932796213846368,0.30591023960171293
180,460800,hetero_mean_pf_it00180_st000460800.pt,0.9554585118686868,10.821780701069144,0.5293633097797309
180,460800,hetero_mean_pf_it00180_st000460800.pt,0.9554585118686868,10.821780701069144,0.20046845693437204
