Wall time,Step,Value
1764875617.8136199,2560,1.3113022134803032e-07
1764875632.998712,2560,-0.006206767167896032
1764875647.958752,2560,-0.001803922699764371
1764875663.243459,2560,-0.016470059752464294
1764875688.707936,5120,2.600252742013254e-07
1764875703.8969212,5120,-0.010595018044114113
1764875718.979431,5120,-0.02532711625099182
1764875733.837077,5120,-0.024253148585557938
1764875759.235609,7680,1.8030405612989853e-07
1764875774.412928,7680,-0.016229115426540375
1764875789.510171,7680,-0.02061924897134304
1764875804.4939258,7680,-0.02589009329676628
1764875829.758496,10240,7.450580596923828e-09
1764875844.753856,10240,-0.010353893041610718
1764875860.0553532,10240,-0.005902731325477362
1764875874.9864352,10240,-0.010064378380775452
1764875900.2945669,12800,1.7881394143159923e-08
1764875915.443378,12800,-0.009623438119888306
1764875930.541918,12800,-0.015758324414491653
1764875945.805789,12800,-0.022068671882152557
1764875972.092915,15360,3.3155082235225564e-08
1764875987.2477922,15360,0.0024763464462012053
1764876002.2794182,15360,-0.003955100663006306
1764876017.4082718,15360,-0.009571085684001446
1764876043.167966,17920,-1.3411044719191523e-08
1764876058.1464489,17920,-0.006687842309474945
1764876073.153423,17920,-0.0021885454189032316
1764876087.958476,17920,-0.0038823559880256653
1764876113.476875,20480,-1.4901161415892261e-09
1764876128.435384,20480,-0.006681048311293125
1764876143.37617,20480,-0.004199075512588024
1764876158.397888,20480,-0.0009345695143565536
1764876183.94912,23040,0.0
1764876198.959181,23040,-0.002767434809356928
1764876213.79105,23040,-0.009705955162644386
1764876228.8236759,23040,-0.0018938645953312516
1764876253.980951,25600,-2.9802322831784522e-09
1764876269.298761,25600,-0.0031315491069108248
1764876284.4061341,25600,-0.008334708400070667
1764876299.312157,25600,-0.007038490381091833
1764876354.706799,28160,-7.450580596923828e-09
1764876369.712873,28160,-0.007985448464751244
1764876384.776852,28160,-0.007138967514038086
1764876399.829356,28160,-0.00520390784367919
1764876424.342685,30720,-1.4901161415892261e-09
1764876437.340319,30720,-0.005781492684036493
1764876452.384665,30720,-0.014507735148072243
1764876467.34713,30720,-0.008576003834605217
1764876492.464983,33280,1.0430812658057675e-08
1764876507.402476,33280,0.003077299799770117
1764876522.523536,33280,-0.0030101456213742495
1764876537.664546,33280,-0.004074722528457642
1764876562.96444,35840,2.9802322831784522e-09
1764876577.971432,35840,0.0007608011364936829
1764876592.979684,35840,-0.0012518346775323153
1764876607.971978,35840,-0.012452280148863792
1764876633.374292,38400,0.0
1764876648.453664,38400,0.0015795528888702393
1764876663.305216,38400,0.0004421960620675236
1764876678.2646139,38400,-0.004452414810657501
1764876704.6191301,40960,1.1920929132713809e-08
1764876719.733026,40960,-0.003311440348625183
1764876734.7432399,40960,-0.0049451664090156555
1764876749.749408,40960,0.0005541056161746383
1764876774.217696,43520,1.4901161193847656e-08
1764876789.184374,43520,-0.00323020969517529
1764876804.1479082,43520,-0.0047022015787661076
1764876819.088107,43520,-0.006571243517100811
1764876844.195306,46080,1.1920929132713809e-08
1764876859.401098,46080,0.000899057078640908
1764876874.604565,46080,-0.011281183920800686
1764876889.655521,46080,-0.0011276822770014405
1764876914.926547,48640,1.4901161415892261e-09
1764876929.992088,48640,-0.0022587894927710295
1764876945.233079,48640,-0.0012496128911152482
1764876960.1119092,48640,-0.007955251261591911
1764876985.284818,51200,-5.215406329028838e-09
1764877000.495056,51200,-0.0054454319179058075
1764877015.764982,51200,0.011895331554114819
1764877030.90813,51200,0.0036633380223065615
1764877087.182935,53760,-1.7136335017653437e-08
1764877102.29162,53760,0.005328160710632801
1764877117.440614,53760,-0.0029679343570023775
1764877133.134196,53760,-0.010129904374480247
1764877159.55141,56320,8.940697071579962e-09
1764877174.876745,56320,0.0038748071528971195
1764877189.8683221,56320,-0.004080125596374273
1764877204.772459,56320,-0.007504631765186787
1764877229.978445,58880,1.3411044719191523e-08
1764877244.840352,58880,0.004477829672396183
1764877259.295297,58880,-0.00418664189055562
1764877272.37841,58880,-0.0026707961224019527
1764877297.903687,61440,0.0
1764877312.718341,61440,0.0002746708632912487
1764877328.180865,61440,-0.005987906362861395
1764877343.6004102,61440,-0.0015315130585804582
1764877370.4491992,64000,1.639127766850379e-08
1764877386.0381901,64000,-0.0049892812967300415
1764877401.245576,64000,0.00048097819671966136
1764877417.1317031,64000,-0.015265656635165215
1764877444.890812,66560,1.1920929132713809e-08
1764877462.869049,66560,-0.007198055274784565
1764877511.9292538,2560,1.3113022134803032e-07
1764877527.228427,2560,-0.006206767167896032
1764877542.751523,2560,-0.001803922699764371
1764877558.555291,2560,-0.016470059752464294
1764877594.223148,5120,-1.1473893835045601e-07
1764877609.136857,5120,-0.007084868848323822
1764877626.164961,5120,-0.030155111104249954
1764877641.2811189,5120,-0.02374587021768093
1764877676.387511,7680,-1.9520521732374618e-07
1764877691.490957,7680,-0.018335992470383644
1764877707.0951018,7680,-0.02844604291021824
1764877721.991807,7680,-0.028901755809783936
1764877757.7487638,10240,8.642673776648735e-08
1764877772.814442,10240,-0.003983333706855774
1764877788.469522,10240,-0.011530682444572449
1764877885.612928,2560,1.3113022134803032e-07
1764877900.684609,2560,-0.006206767167896032
1764877916.433768,2560,-0.001803922699764371
1764877932.621291,2560,-0.016470059752464294
1764877968.649086,5120,-1.1473893835045601e-07
1764877983.627018,5120,-0.007084868848323822
1764877998.453092,5120,-0.030155111104249954
1764878013.414199,5120,-0.02374587021768093
1764878048.9665668,7680,-1.9520521732374618e-07
1764878063.875262,7680,-0.018335992470383644
1764878078.649052,7680,-0.02844604291021824
1764878094.601673,7680,-0.028901755809783936
1764878127.181112,10240,8.642673776648735e-08
1764878142.3881652,10240,-0.003983333706855774
1764878157.776194,10240,-0.011530682444572449
1764878213.797226,2560,1.3113022134803032e-07
1764878229.5138729,2560,-0.006206767167896032
1764878244.5098839,2560,-0.001803922699764371
1764878258.348885,2560,-0.016470059752464294
1764878278.028955,5120,2.600252742013254e-07
1764878289.599007,5120,-0.010595018044114113
1764878301.0614982,5120,-0.02532711625099182
1764878312.18358,5120,-0.024253148585557938
1764878330.7185578,7680,1.8030405612989853e-07
1764878341.67447,7680,-0.016229115426540375
1764878352.602221,7680,-0.02061924897134304
1764878363.5477529,7680,-0.02589009329676628
1764878381.992002,10240,7.450580596923828e-09
1764878393.003433,10240,-0.010353893041610718
1764878403.9814599,10240,-0.005902731325477362
1764878414.930615,10240,-0.010064378380775452
1764878433.418768,12800,1.7881394143159923e-08
1764878444.4340549,12800,-0.009623438119888306
1764878455.403141,12800,-0.015758324414491653
1764878466.362462,12800,-0.022068671882152557
1764878485.539513,15360,3.3155082235225564e-08
1764878496.601828,15360,0.0024763464462012053
1764878507.8123782,15360,-0.003955100663006306
1764878519.39311,15360,-0.009571085684001446
1764878539.21899,17920,-1.3411044719191523e-08
1764878550.385098,17920,-0.006687842309474945
1764878561.602719,17920,-0.0021885454189032316
1764878572.672822,17920,-0.0038823559880256653
1764878591.837456,20480,-1.4901161415892261e-09
1764878603.1455271,20480,-0.006681048311293125
1764878614.330443,20480,-0.004199075512588024
1764878625.696362,20480,-0.0009345695143565536
1764878645.4592278,23040,0.0
1764878656.783051,23040,-0.002767434809356928
1764878668.002799,23040,-0.009705955162644386
1764878679.3458922,23040,-0.0018938645953312516
1764878699.1579561,25600,-2.9802322831784522e-09
1764878710.19825,25600,-0.0031315491069108248
1764878721.390957,25600,-0.008334708400070667
1764878733.066516,25600,-0.007038490381091833
1764878759.751626,28160,-7.450580596923828e-09
1764878771.052819,28160,-0.007985448464751244
1764878782.370891,28160,-0.007138967514038086
1764878793.65732,28160,-0.00520390784367919
1764878813.0883121,30720,-1.4901161415892261e-09
1764878824.212568,30720,-0.005781492684036493
1764878835.258029,30720,-0.014507735148072243
1764878846.2747269,30720,-0.008576003834605217
1764878865.633475,33280,1.0430812658057675e-08
1764878876.722701,33280,0.003077299799770117
1764878887.7388859,33280,-0.0030101456213742495
1764878898.78526,33280,-0.004074722528457642
1764878917.941679,35840,2.9802322831784522e-09
1764878928.9545221,35840,0.0007608011364936829
1764878940.039994,35840,-0.0012518346775323153
1764878951.061795,35840,-0.012452280148863792
1764878970.5676951,38400,0.0
1764878982.0575979,38400,0.0015795528888702393
1764878993.556113,38400,0.0004421960620675236
1764879004.7802901,38400,-0.004452414810657501
1764879024.235921,40960,1.1920929132713809e-08
1764879035.398405,40960,-0.003311440348625183
1764879046.540813,40960,-0.0049451664090156555
1764879057.80942,40960,0.0005541056161746383
1764879076.541456,43520,1.4901161193847656e-08
1764879087.575851,43520,-0.00323020969517529
1764879098.407844,43520,-0.0047022015787661076
1764879109.4266539,43520,-0.006571243517100811
1764879128.077069,46080,1.1920929132713809e-08
1764879139.165765,46080,0.000899057078640908
1764879150.225122,46080,-0.011281183920800686
1764879161.2925591,46080,-0.0011276822770014405
1764879180.161553,48640,1.4901161415892261e-09
1764879191.235768,48640,-0.0022587894927710295
1764879202.294219,48640,-0.0012496128911152482
1764879213.351434,48640,-0.007955251261591911
1764879232.0072498,51200,-5.215406329028838e-09
1764879243.1415172,51200,-0.0054454319179058075
1764879254.248374,51200,0.011895331554114819
1764879265.323885,51200,0.0036633380223065615
1764879292.439256,53760,-1.7136335017653437e-08
1764879304.086988,53760,0.005328160710632801
1764879315.511114,53760,-0.0029679343570023775
1764879326.8845649,53760,-0.010129904374480247
1764879346.5795991,56320,8.940697071579962e-09
1764879357.752235,56320,0.0038748071528971195
1764879368.855985,56320,-0.004080125596374273
1764879379.95052,56320,-0.007504631765186787
1764879399.412158,58880,1.3411044719191523e-08
1764879410.5096772,58880,0.004477829672396183
1764879421.669633,58880,-0.00418664189055562
1764879432.829964,58880,-0.0026707961224019527
1764879452.169549,61440,0.0
1764879463.261434,61440,0.0002746708632912487
1764879474.336538,61440,-0.005987906362861395
1764879485.472403,61440,-0.0015315130585804582
1764879504.5939121,64000,1.639127766850379e-08
1764879515.644615,64000,-0.0049892812967300415
1764879526.750201,64000,0.00048097819671966136
1764879537.914706,64000,-0.015265656635165215
1764879558.070799,66560,1.1920929132713809e-08
1764879569.447042,66560,-0.007198055274784565
1764879580.8072991,66560,-0.0034810707438737154
1764879592.15851,66560,-0.0028184347320348024
1764879611.7001102,69120,2.086162531611535e-08
1764879622.784106,69120,-0.004923050291836262
1764879633.8237062,69120,0.0002516224922146648
1764879644.959085,69120,-0.0144281554967165
1764879664.215384,71680,1.3597309944657354e-08
1764879675.331563,71680,0.0022888064850121737
1764879686.413256,71680,-0.00996436458081007
1764879698.063364,71680,-0.0003912925603799522
1764879717.439956,74240,-1.3411044719191523e-08
1764879729.054773,74240,0.0006354849901981652
1764879740.097847,74240,-0.0037267201114445925
1764879751.127292,74240,-0.003770975861698389
1764879769.7822342,76800,-1.639127766850379e-08
1764879780.829269,76800,-0.005227419547736645
1764879791.938118,76800,-0.010182080790400505
