Iteration,Makespan,Active_Energy,Makespan_Return,Active_Energy_Return,Total_Return
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,4.03490669036519,11.389990795024113,0.0,0.0,-2.8905803144885684
20,3.761991918470417,11.099838432729154,0.0,0.0,-2.8487529107149063
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
1,2.9348793222055725,12.880573178509268,0.0,0.0,-3.2059334395326804
2,3.591303302725053,11.438929432130836,0.0,0.0,-2.994714191070779
3,3.4348513607503603,11.014456677439703,0.0,0.0,-2.931762714732904
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
1,2.9348793222055725,12.880573178509268,0.0,0.0,-3.2059334395326804
2,3.591303302725053,11.438929432130836,0.0,0.0,-2.994714191070779
3,3.4348513607503603,11.014456677439703,0.0,0.0,-2.931762714732904
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,4.03490669036519,11.389990795024113,0.0,0.0,-2.8905803144885684
20,3.761991918470417,11.099838432729154,0.0,0.0,-2.8487529107149063
30,4.125715025252525,9.353451407226352,0.0,0.0,-2.493622608318878
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,4.03490669036519,11.389990795024113,0.0,0.0,-2.8905803144885684
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,3.8138315895215893,10.32852207797105,0.0,0.0,-2.656924363982659
20,4.286746540404041,11.124853518477892,0.0,0.0,-2.8698116171675867
30,4.598515416666666,10.142257011285285,0.0,0.0,-2.518321014915198
40,4.385279002525253,9.84363957231494,0.0,0.0,-2.506191167109613
50,4.576245416666666,10.51854138507326,0.0,0.0,-2.633248306925501
60,3.9847136388888895,10.146553729461331,0.0,0.0,-2.6454656495542697
70,4.452761388888889,9.752031763863181,0.0,0.0,-2.6732868275434765
80,4.489824519230768,10.929021376925771,0.0,0.0,-2.7135311874214163
90,4.521721237373737,9.888603654635805,0.0,0.0,-2.519487345567123
100,4.4502308333333325,10.022486198556344,0.0,0.0,-2.4976103228081827
110,4.602577954545454,11.190070254467754,0.0,0.0,-2.8490527782272945
120,4.978779027777776,11.056463589945592,0.0,0.0,-2.5293733099370743
130,4.562831805555555,10.335718366461968,0.0,0.0,-2.49381365002309
140,4.534173093434342,10.464662640447786,0.0,0.0,-2.6325437069339404
150,4.1698305357142855,11.339113215363067,0.0,0.0,-2.7543379146262015
160,5.047396485042734,11.724317911833536,0.0,0.0,-2.715488212249106
170,4.470958499999999,10.797880421727397,0.0,0.0,-2.601200880078363
180,4.714872638888888,10.55794163804945,0.0,0.0,-2.500912755079984
190,4.4473551515151515,10.587417022213899,0.0,0.0,-2.628875674631775
195,4.519072601010101,10.597180004854215,0.0,0.0,-2.63765267227107
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,3.8138315895215893,10.32852207797105,0.0,0.0,-2.656924363982659
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
3,3.1000936920024422,12.223033498309576,0.0,0.0,-3.085808134797824
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,3.843829771339771,10.433706595744942,0.0,0.0,-2.652232796287076
20,4.51932154040404,10.564210358755666,0.0,0.0,-2.6060987528646553
23,4.6071935353535345,10.136529870160475,0.0,0.0,-2.52973267902316
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,3.843829771339771,10.433706595744942,0.0,0.0,-2.652232796287076
20,4.51932154040404,10.564210358755666,0.0,0.0,-2.6060987528646553
23,4.6071935353535345,10.136529870160475,0.0,0.0,-2.52973267902316
0,3.0597404378121875,13.092308311200252,0.0,0.0,-3.1726311356379604
10,4.077050730935731,11.175801210033839,0.0,0.0,-2.665684741122364
20,4.750185138888889,10.724640332923652,0.0,0.0,-2.6215081446344803
23,4.800026805555555,10.508405368589742,0.0,0.0,-2.5283791887198293
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
10,3.843829771339771,10.433706595744942,0.0,0.0,-2.652232796287076
20,4.51932154040404,10.564210358755666,0.0,0.0,-2.6060987528646553
23,4.6071935353535345,10.136529870160475,0.0,0.0,-2.52973267902316
