Wall time,Step,Value
1764875617.813716,2560,1.0203197002410889
1764875632.9988842,2560,0.9355109333992004
1764875647.958925,2560,0.9364280700683594
1764875663.243616,2560,0.8870092630386353
1764875688.708032,5120,0.8552691340446472
1764875703.897085,5120,0.8000515699386597
1764875718.979584,5120,0.7710843086242676
1764875733.837184,5120,0.7307576537132263
1764875759.235831,7680,0.6075915098190308
1764875774.413122,7680,0.4974374771118164
1764875789.51036,7680,0.41297298669815063
1764875804.4940999,7680,0.43518733978271484
1764875829.758646,10240,0.26798540353775024
1764875844.7540429,10240,0.21268947422504425
1764875860.0555031,10240,0.2077164649963379
1764875874.986669,10240,0.21707001328468323
1764875900.294863,12800,0.19836626946926117
1764875915.443542,12800,0.1822778880596161
1764875930.542047,12800,0.19641876220703125
1764875945.805894,12800,0.19066786766052246
1764875972.093112,15360,0.23876838386058807
1764875987.247862,15360,0.2696661353111267
1764876002.279594,15360,0.2527341842651367
1764876017.408417,15360,0.2642199397087097
1764876043.168155,17920,0.17489853501319885
1764876058.146681,17920,0.17167450487613678
1764876073.153578,17920,0.17784175276756287
1764876087.9586308,17920,0.16607797145843506
1764876113.477081,20480,0.1474657952785492
1764876128.435576,20480,0.14245069026947021
1764876143.3763452,20480,0.14683517813682556
1764876158.39806,20480,0.14372918009757996
1764876183.949242,23040,0.13913650810718536
1764876198.959382,23040,0.1420658379793167
1764876213.791224,23040,0.12953311204910278
1764876228.823869,23040,0.14012643694877625
1764876253.981168,25600,0.1324186772108078
1764876269.29896,25600,0.13646340370178223
1764876284.406246,25600,0.12002487480640411
1764876299.31234,25600,0.12159836292266846
1764876354.707028,28160,0.1588747352361679
1764876369.7130802,28160,0.1436210423707962
1764876384.7769668,28160,0.13870835304260254
1764876399.829483,28160,0.1592770367860794
1764876424.34285,30720,0.1226608157157898
1764876437.340512,30720,0.1280842423439026
1764876452.3847969,30720,0.1308096945285797
1764876467.347293,30720,0.1164989247918129
1764876492.465158,33280,0.117320716381073
1764876507.402645,33280,0.11948512494564056
1764876522.523638,33280,0.1096557229757309
1764876537.664694,33280,0.11444087326526642
1764876562.964594,35840,0.10921959578990936
1764876577.971528,35840,0.11031584441661835
1764876592.979827,35840,0.10583338886499405
1764876607.972116,35840,0.11062333732843399
1764876633.3744829,38400,0.11159004271030426
1764876648.4538062,38400,0.10284949839115143
1764876663.3053818,38400,0.11072615534067154
1764876678.26479,38400,0.10368821769952774
1764876704.619306,40960,0.1340028941631317
1764876719.7332108,40960,0.13030222058296204
1764876734.743344,40960,0.13570235669612885
1764876749.749562,40960,0.14163711667060852
1764876774.217823,43520,0.10922896862030029
1764876789.184493,43520,0.11054177582263947
1764876804.148056,43520,0.09943226724863052
1764876819.088216,43520,0.10160157829523087
1764876844.1955059,46080,0.10994257032871246
1764876859.401269,46080,0.11011695861816406
1764876874.604668,46080,0.10953468084335327
1764876889.655658,46080,0.10857982933521271
1764876914.9266932,48640,0.10200351476669312
1764876929.9922,48640,0.09861088544130325
1764876945.233221,48640,0.10358639061450958
1764876960.1120598,48640,0.09375715255737305
1764876985.284974,51200,0.11087103188037872
1764877000.495138,51200,0.10298647731542587
1764877015.765126,51200,0.10039915889501572
1764877030.908319,51200,0.10058122873306274
1764877087.1830971,53760,0.1353922337293625
1764877102.2918231,53760,0.1561860740184784
1764877117.4408178,53760,0.13190369307994843
1764877133.134352,53760,0.14124444127082825
1764877159.551786,56320,0.09626475721597672
1764877174.8768902,56320,0.09186379611492157
1764877189.868545,56320,0.09883854538202286
1764877204.77262,56320,0.09657838195562363
1764877229.978667,58880,0.09290266036987305
1764877244.84058,58880,0.09578807651996613
1764877259.295516,58880,0.09196624904870987
1764877272.37855,58880,0.09988302737474442
1764877297.903853,61440,0.09218873083591461
1764877312.718582,61440,0.09744932502508163
1764877328.181088,61440,0.09379531443119049
1764877343.600616,61440,0.10582687705755234
1764877370.449376,64000,0.10190926492214203
1764877386.038379,64000,0.09803915023803711
1764877401.245832,64000,0.09414375573396683
1764877417.131901,64000,0.10075013339519501
