Wall time,Step,Value
1764834315.9352279,25600,0.49528068637261347
1764834333.2177742,25600,0.4995564300446492
1764834350.429894,25600,0.49920451988379044
1764834367.690777,25600,0.4997226306076501
1764843464.796444,51200,0.4996362845784619
1764843481.680922,51200,0.4996666955914883
1764843498.609345,51200,0.4999881090465445
1764843515.687872,51200,0.49999772212076643
1764844299.445117,76800,0.49981054743252945
1764844317.111974,76800,0.4999933718338051
1764844334.230401,76800,0.49998719997010344
1764844351.0579321,76800,0.4997719544109109
1764845135.9021251,102400,0.4999777147923091
1764845152.927758,102400,0.4999920836821501
1764845170.099529,102400,0.49997563751598106
1764845187.388124,102400,0.49998947322820575
1764845972.062315,128000,0.4999980422081016
1764845989.27039,128000,0.4999965532172066
1764846006.312922,128000,0.49999750050883396
1764846023.2589839,128000,0.49999628507199967
1764846799.20596,153600,0.4999939218718176
1764846816.1045718,153600,0.4999516752648974
1764846832.877305,153600,0.49994461730109147
1764846850.464023,153600,0.49999887349094335
1764847644.011474,179200,0.499988603104927
1764847661.2264478,179200,0.49999857651499674
1764847678.075576,179200,0.49998908752453525
1764847694.98108,179200,0.4999927744443565
1764848671.57449,25600,0.4999909025843903
1764848688.825567,25600,0.4996938898162621
1764848705.733234,25600,0.4998810100085575
1764848722.735749,25600,0.49997723445077
1764849517.925799,51200,0.49988659266733937
1764849535.071877,51200,0.4999801691552627
1764849552.558817,51200,0.49998005451865707
1764849569.989265,51200,0.49998573961551085
1764853921.133497,76800,0.49973653325420164
1764853938.2578208,76800,0.49988858391934077
1764853956.159898,76800,0.4999916423111807
1764853973.7146938,76800,0.4997799428391956
1764855033.283712,102400,0.49992350144510134
1764855050.870665,102400,0.4999833565803077
1764855068.4853592,102400,0.49989543291362826
1764855086.016097,102400,0.49978537538734913
1764856001.0911832,128000,0.4999377724733716
1764856018.4946518,128000,0.49986699253129663
1764856035.796073,128000,0.4999706554660569
1764856053.6016378,128000,0.4999685468869308
1764856895.960324,153600,0.4990592190655285
1764856914.8168828,153600,0.499765785353067
1764856933.05537,153600,0.4997573981313657
1764856950.4786508,153600,0.49992645588895596
1764857753.7002602,179200,0.49999660434540055
1764857771.1977532,179200,0.49999340613053667
1764857788.644212,179200,0.4999856686292708
1764857804.6637518,179200,0.49998362510372235
1764858609.4050188,204800,0.4999913770093487
1764867900.9257479,25600,0.49314641718823393
1764867919.7749262,25600,0.49964637149300967
1764867937.634803,25600,0.4999240863641307
1764867955.0053499,25600,0.4974226315970261
1764868751.76317,51200,0.4999625810191967
1764868768.359072,51200,0.49997291626139784
1764868785.201417,51200,0.4994114886876911
1764868802.205835,51200,0.49984834776091713
1764869638.243086,76800,0.4999856358582722
1764869656.323903,76800,0.49990496819124813
1764869674.272176,76800,0.49997662722158964
1764869692.0595999,76800,0.4999901773814377
1764870531.2914078,102400,0.49999594823107807
1764870550.9749,102400,0.49999136616700407
1764870568.9321668,102400,0.49998261076157263
1764870586.311477,102400,0.4999998767952461
1764871376.425235,128000,0.4999449526742545
1764871393.775092,128000,0.4998405172624083
1764871410.8007438,128000,0.4999772220254849
1764871429.184086,128000,0.49994215989465035
1764872232.224171,153600,0.49993996109778
1764872249.782542,153600,0.4999856442045211
1764872267.0131001,153600,0.49996592807963225
1764872283.840744,153600,0.49999724662716555
1764873087.189836,179200,0.4999848443151007
1764873105.204767,179200,0.4999953801448475
1764873122.237458,179200,0.4999993435603191
1764873139.5829692,179200,0.4999919305583325
1764873944.5432699,204800,0.4999820124630034
1764873962.736593,204800,0.49999293658813393
1764873981.104675,204800,0.4999988660307334
1764873999.079541,204800,0.4999985781080732
1764874798.8421602,230400,0.49999086694951633
1764874815.60335,230400,0.49995032837520376
1764874834.919086,230400,0.49990243700849857
1764874853.0574698,230400,0.49999683553231655
