Iteration,Makespan,Active_Energy,Makespan_Return,Active_Energy_Return,Total_Return
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
50,4.836471755050504,10.726308940812046,0.0,0.0,-2.6700711867134714
100,5.084042500000001,11.009818516214182,0.0,0.0,-2.5316260603169916
150,4.4646017414529915,11.509953983972864,0.0,0.0,-2.7586146368260405
200,4.897569898989898,10.943513077963702,0.0,0.0,-2.5070979625784457
250,4.619731957070707,11.116317125194456,0.0,0.0,-2.739466682787139
300,4.802674166666666,10.873154770613372,0.0,0.0,-2.7104243263135572
350,4.602217222222222,11.495734945818072,0.0,0.0,-3.017271053262179
351,4.94164678030303,11.331288776593777,0.0,0.0,-2.664120629037895
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
50,4.255450083333334,11.03269777997501,0.0,0.0,-2.931706864593801
100,4.161126933760683,11.96700774608561,0.0,0.0,-3.079387681942915
150,3.8793607970085464,11.766504667843513,0.0,0.0,-2.804723879966673
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
0,2.97283210989011,13.54161347652104,0.0,0.0,-3.199392841177011
50,4.822270505050505,10.695106115967366,0.0,0.0,-2.519606347653088
