iteration,global_step,checkpoint,makespan,energy,hv_total,hv_contrib
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.999174274031524,12.710813193948448,0.0317507938635345,0.0317507938635345
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0865845804501055,11.629423336492914,0.1488323150877505,0.058751077228316004
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0865845804501055,11.629423336492914,0.28350850844527337,0.07125486187693514
20,51200,hetero_mean_pf_it00020_st000051200.pt,1.024409722943723,11.038343857753706,0.13425554787158128,0.08566469246615638
20,51200,hetero_mean_pf_it00020_st000051200.pt,1.024409722943723,11.038343857753706,0.13425554787158128,0.08566469246615638
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.999174274031524,12.710813193948448,0.13915801579865544,0.01407181670732624
5,12800,hetero_mean_pf_it00005_st000012800.pt,0.999174274031524,12.710813193948448,0.0317507938635345,0.0317507938635345
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0865845804501055,11.629423336492914,0.1488323150877505,0.058751077228316004
5,12800,hetero_mean_pf_it00005_st000012800.pt,1.002284578948829,13.003299902273966,0.03258251741874002,0.03258251741874002
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0192823663530914,11.709384495057392,0.11012971000802942,0.06594325790642165
15,38400,hetero_mean_pf_it00015_st000038400.pt,1.0483692373737374,10.915563992051164,0.2111151364876069,0.04161084976741389
15,38400,hetero_mean_pf_it00015_st000038400.pt,1.0483692373737374,10.915563992051164,0.2111151364876069,0.04161084976741389
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0192823663530914,11.709384495057392,0.2125517803847659,0.035033406360339525
10,25600,hetero_mean_pf_it00010_st000025600.pt,1.0192823663530914,11.709384495057392,0.21936949629306962,0.02188091961914071
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.02652267070382639,0.02652267070382639
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.02652267070382639,0.02652267070382639
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.02652267070382639,0.02652267070382639
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.02652267070382639,0.02652267070382639
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.02652267070382639,0.02652267070382639
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.02652267070382639,0.02652267070382639
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.02652267070382639,0.02652267070382639
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.02652267070382639,0.02652267070382639
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.02652267070382639,0.02652267070382639
35,89600,hetero_mean_pf_it00035_st000089600.pt,0.9961839154040405,10.649708469974264,0.02652267070382639,0.02652267070382639
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.025852878580186013,0.025852878580186013
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.046104383973836705,0.01859559499141946
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.046104383973836705,0.01859559499141946
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.046104383973836705,0.01859559499141946
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.046104383973836705,0.01859559499141946
85,217600,hetero_mean_pf_it00085_st000217600.pt,0.9760890568181819,10.594475329724606,0.046104383973836705,0.01859559499141946
90,230400,hetero_mean_pf_it00090_st000230400.pt,1.0111933813131313,10.580113474394476,0.08022709577957125,0.009899286158482748
90,230400,hetero_mean_pf_it00090_st000230400.pt,1.0111933813131313,10.580113474394476,0.08022709577957125,0.009899286158482748
90,230400,hetero_mean_pf_it00090_st000230400.pt,1.0111933813131313,10.580113474394476,0.08022709577957125,0.009899286158482748
90,230400,hetero_mean_pf_it00090_st000230400.pt,1.0111933813131313,10.580113474394476,0.08022709577957125,0.009899286158482748
90,230400,hetero_mean_pf_it00090_st000230400.pt,1.0111933813131313,10.580113474394476,0.08022709577957125,0.009899286158482748
90,230400,hetero_mean_pf_it00090_st000230400.pt,1.0111933813131313,10.580113474394476,0.1124961778107289,0.009899286158482748
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.025053669169751318,0.025053669169751318
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.05129194787427784,0.019709652561659678
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.05129194787427784,0.019709652561659678
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.05326250047922578,0.019709652561659678
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.05612832144844182,0.019709652561659678
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.05612832144844182,0.019709652561659678
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.05612832144844182,0.019709652561659678
145,371200,hetero_mean_pf_it00145_st000371200.pt,0.9504565584693084,10.54384609017785,0.05612832144844182,0.019709652561659678
