Iteration,Makespan,Active_Energy,Makespan_Return,Active_Energy_Return,Total_Return
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
10,0.8685642482517483,9.300625408510335,0.0,0.0,-2.4633547629873007
20,0.8385704545454544,9.238170648668461,0.0,0.0,-2.4341190316095105
30,0.8036287878787878,9.343003755270464,0.0,0.0,-2.26478957830735
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
10,0.8685642482517483,9.300625408510335,0.0,0.0,-2.4633547629873007
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
1,0.48621250000000005,12.764469132782457,0.0,0.0,-2.7723950758022404
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
1,0.5265831111111111,13.473960840041666,0.0,0.0,-2.921089346353514
2,0.3732847222222222,11.36544180998711,0.0,0.0,-2.5624721677435867
3,0.6998883333333332,10.919552174798993,0.0,0.0,-2.539615382837261
4,0.6866359829059828,12.450785743764822,0.0,0.0,-2.975838855734194
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
10,0.9400239087301587,8.850453206695946,0.0,0.0,-2.6340251613387142
20,0.9233315656565657,9.812201064206905,0.0,0.0,-2.4710357089589987
30,0.7968492424242425,8.68283447439203,0.0,0.0,-2.402644719460466
40,0.8995549999999999,8.830934412083014,0.0,0.0,-2.4599044054947066
50,0.7403791666666666,8.809368844139929,0.0,0.0,-2.3204741329155274
60,0.8122008333333333,8.843771432868602,0.0,0.0,-2.552852434292601
70,0.5677725378787878,9.028753193913928,0.0,0.0,-2.251066574392664
80,0.7287549999999999,9.087250307131594,0.0,0.0,-2.3725654558884566
90,0.6807571969696969,9.15279880132735,0.0,0.0,-2.345252347409632
100,0.6609069444444444,8.947211974365503,0.0,0.0,-2.307235895597121
110,0.7287549999999999,8.886444322399413,0.0,0.0,-2.3847506692157268
120,0.6569333333333333,9.557509045417408,0.0,0.0,-2.713570074428168
130,0.5304454545454546,9.636374610816063,0.0,0.0,-2.3415411015767154
140,0.7403791666666666,8.85445574046052,0.0,0.0,-2.3097827707133236
150,0.6609069444444444,8.938650619145967,0.0,0.0,-2.258599035283629
160,0.7642030303030303,8.556367324213774,0.0,0.0,-2.363109544143151
170,0.6569333333333333,8.806547955739113,0.0,0.0,-2.500146394695752
180,0.6569333333333333,8.521313580500381,0.0,0.0,-2.3533416631349855
190,0.6569333333333333,9.062805868267763,0.0,0.0,-2.4853462436160516
195,0.6569333333333333,8.748467934571556,0.0,0.0,-2.3346725079654513
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
1,0.5265831111111111,13.473960840041666,0.0,0.0,-2.921089346353514
2,0.3732847222222222,11.36544180998711,0.0,0.0,-2.5624721677435867
3,0.6998883333333332,10.919552174798993,0.0,0.0,-2.539615382837261
4,0.6866359829059828,12.450785743764822,0.0,0.0,-2.975838855734194
5,0.7442875,10.03082340144698,0.0,0.0,-2.6164230904371335
6,0.7403791666666666,8.766650956441326,0.0,0.0,-2.4054083176368897
7,0.7134034090909092,9.210885323137513,0.0,0.0,-2.3824059223093434
8,0.8956288636363636,9.263751578139997,0.0,0.0,-2.474609508768093
9,0.8230379545454545,9.159461305661253,0.0,0.0,-2.373701276915178
10,1.07480625,9.201279269787946,0.0,0.0,-2.722833489347006
11,0.9043494444444444,9.44058170392745,0.0,0.0,-2.5885778368504715
12,0.6783908333333333,9.486146613330233,0.0,0.0,-2.2750128599746695
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
1,0.5265831111111111,13.473960840041666,0.0,0.0,-2.921089346353514
2,0.3732847222222222,11.36544180998711,0.0,0.0,-2.5624721677435867
3,0.6998883333333332,10.919552174798993,0.0,0.0,-2.539615382837261
0,0.9834933080808081,10.838144629249893,0.0,0.0,-3.1222573566367187
10,0.9400239087301587,8.850453206695946,0.0,0.0,-2.6340251613387142
